Date,Average
2015-11-19,28.0
2015-11-20,26.0
2015-11-21,27.0
2015-11-22,28.0
2015-11-23,28.0
2015-11-24,28.0
2015-11-25,28.0
2015-11-26,28.0
2015-11-27,28.0
2015-11-28,28.0
2015-11-29,28.0
2015-11-30,28.0
2015-12-01,28.0
2015-12-02,28.0
2015-12-03,28.0
2015-12-04,28.0
2015-12-05,27.0
2015-12-06,28.0
2015-12-07,28.0
2015-12-08,28.0
2015-12-09,28.0
2015-12-10,28.0
2015-12-11,28.0
2015-12-12,27.0
2015-12-13,28.0
2015-12-14,28.0
2015-12-15,28.0
2015-12-16,28.0
2015-12-17,28.0
2015-12-18,28.0
2015-12-19,28.0
2015-12-20,28.0
2015-12-21,28.0
2015-12-22,29.0
2015-12-23,28.0
2015-12-24,35.0
2015-12-25,27.0
2015-12-26,28.0
2015-12-27,28.0
2015-12-28,28.0
2015-12-29,28.0
2015-12-30,28.0
2015-12-31,28.0
2016-01-01,28.0
2016-01-02,30.0
2016-01-03,29.0
2016-01-04,28.0
2016-01-05,28.0
2016-01-06,28.0
2016-01-07,29.0
2016-01-08,29.0
2016-01-09,28.0
2016-01-10,29.0
2016-01-11,28.0
2016-01-12,28.0
2016-01-13,28.0
2016-01-14,28.0
2016-01-15,28.0
2016-01-16,27.0
2016-01-17,28.0
2016-01-18,28.0
2016-01-19,28.0
2016-01-20,28.0
2016-01-21,28.0
2016-01-22,28.0
2016-01-23,28.0
2016-01-24,29.0
2016-01-25,28.0
2016-01-26,28.0
2016-01-27,28.0
2016-01-28,28.0
2016-01-29,28.0
2016-01-30,29.0
2016-01-31,24.0
2016-02-01,23.0
2016-02-02,22.0
2016-02-03,22.0
2016-02-04,22.0
2016-02-05,22.0
2016-02-06,27.0
2016-02-07,21.0
2016-02-08,23.0
2016-02-09,21.0
2016-02-10,22.0
2016-02-11,22.0
2016-02-12,22.0
2016-02-13,23.0
2016-02-14,22.0
2016-02-15,22.0
2016-02-16,22.0
2016-02-17,22.0
2016-02-18,22.0
2016-02-19,22.0
2016-02-20,22.0
2016-02-21,22.0
