Date,Average
01/15/2016,रू २८.००
01/16/2016,रू २७.००
01/17/2016,रू २८.००
01/18/2016,रू २८.००
01/19/2016,रू २८.००
01/20/2016,रू २८.००
01/21/2016,रू २८.००
01/22/2016,रू २८.००
01/23/2016,रू २८.००
01/24/2016,रू २९.००
01/25/2016,रू २८.००
01/26/2016,रू २८.००
01/27/2016,रू २८.००
01/28/2016,रू २८.००
01/29/2016,रू २८.००
01/30/2016,रू २९.००
01/31/2016,रू २४.००
02/01/2016,रू २३.००
02/02/2016,रू २२.००
02/03/2016,रू २२.००
02/04/2016,रू २२.००
02/05/2016,रू २२.००
02/06/2016,रू २७.००
02/07/2016,रू २१.००
02/08/2016,रू २३.००
02/09/2016,रू २१.००
02/10/2016,रू २२.००
02/11/2016,रू २२.००
02/12/2016,रू २२.००
02/13/2016,रू २३.००
02/14/2016,रू २२.००
02/15/2016,रू २२.००
02/16/2016,रू २२.००
02/17/2016,रू २२.००
02/18/2016,रू २२.००
02/19/2016,रू २२.००
02/20/2016,रू २२.००
02/21/2016,रू २२.००
02/22/2016,रू २२.००
02/23/2016,रू २२.००
02/24/2016,रू २२.००
02/25/2016,रू २२.००
02/26/2016,रू २२.००
02/27/2016,रू २४.००
02/28/2016,रू २२.००
02/29/2016,रू २२.००
03/01/2016,रू २२.००
03/02/2016,रू २२.००
03/04/2016,रू २२.००
03/05/2016,रू २२.००
03/06/2016,रू २२.००
03/07/2016,रू २२.००
03/08/2016,रू २३.००
03/09/2016,रू २२.००
03/10/2016,रू २२.००
03/11/2016,रू २२.००
03/12/2016,रू २३.००
03/13/2016,रू २३.००
03/15/2016,रू २२.००
03/16/2016,रू २२.००
03/17/2016,रू २२.००
03/18/2016,रू २२.००
03/19/2016,रू २३.००
03/20/2016,रू २२.००
03/21/2016,रू २२.००
03/22/2016,रू २३.००
03/23/2016,रू २२.००
03/24/2016,रू २२.००
03/25/2016,रू २२.००
03/26/2016,रू २२.००
03/27/2016,रू २२.००
03/28/2016,रू २२.००
03/29/2016,रू २२.००
03/30/2016,रू २२.००
03/31/2016,रू २२.००
04/01/2016,रू २२.००
04/02/2016,रू २३.००
04/03/2016,रू २२.००
04/04/2016,रू २२.००
04/05/2016,रू २२.००
04/06/2016,रू २२.००
04/07/2016,रू २१.००
04/08/2016,रू २१.००
04/09/2016,रू २१.००
04/10/2016,रू २३.००
04/11/2016,रू २४.००
04/12/2016,रू २४.००
04/13/2016,रू २३.००
04/14/2016,रू २८.००
